STT,Althgorithm,Datasetname,num_trucks,drones_per_truck,makespan (hours),Fitness,run time,Service seq,Vehicle asgn
70,RL_SPC_GA,N20E50R20_01,1,1,1.0126561336927153,0.718181964043745,69.82236460002605,"[14, 8, -10, -15, -9, 2, 4, -16, 17, -5, -19, 1, -12, 3, 13, 6, -11, -7, -18, 20]","[2, 2, 2, 1, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 1, 2, 2, 1, 2, 2]"
71,RL_SPC_GA,N20E50R20_01,2,1,0.8140250000000001,0.551459013117466,69.86559349996969,"[12, 20, 18, -16, 4, 14, -2, -8, -7, -3, -15, 13, 9, 5, -10, -19, 6, 17, -1, 11]","[2, 4, 2, 2, 2, 4, 4, 1, 2, 2, 3, 4, 2, 1, 2, 4, 4, 3, 4, 2]"
72,RL_SPC_GA,N20E50R20_02,2,1,0.6830322474788906,0.5686606883974603,65.87832650006749,"[-13, -4, 5, -12, -6, 19, 11, 2, 7, 3, 14, 9, 8, -15, -1, 16, -17, 20, 10, -18]","[2, 4, 2, 4, 4, 2, 2, 2, 1, 4, 2, 3, 4, 2, 2, 1, 4, 4, 2, 4]"
73,RL_SPC_GA,N20E50R20_03,2,1,0.6917249999999999,0.5135739290699863,68.36076239997055,"[10, 15, -3, 1, 4, -8, 19, -2, -14, 20, 5, -6, -13, -7, 12, -9, 16, 17, -18, -11]","[2, 2, 2, 2, 4, 2, 4, 4, 1, 2, 2, 2, 4, 3, 1, 4, 2, 4, 3, 4]"
74,RL_SPC_GA,N20E50R20_04,2,1,0.657375,0.4993800416289193,67.656106700073,"[5, 20, -16, 7, -17, -14, 3, 4, 15, 6, 1, 13, -9, -8, -11, -2, -18, -12, -19, 10]","[4, 2, 2, 2, 4, 2, 1, 4, 4, 4, 3, 4, 4, 2, 2, 4, 2, 1, 2, 2]"
75,RL_SPC_GA,N20E50R20_05,2,1,0.583095084097357,0.344289576952654,169.21639670000877,"[-1, 5, -15, -6, 7, 16, 17, -19, -20, 13, 9, -18, -4, -10, 12, -2, 14, 11, -3, 8]","[4, 2, 4, 2, 4, 2, 4, 2, 2, 3, 4, 1, 2, 2, 4, 4, 2, 3, 4, 4]"
76,RL_SPC_HGA,N10E30R10_01,2,1,0.5387377439199098,0.3108947569847674,48.77659489994403,"[-3, -2, -1, -7, -6, 5, -4, -9, -10, 8]","[2, 4, 4, 2, 2, 4, 1, 2, 2, 2]"
77,RL_SPC_HGA,N10E30R10_02,2,1,0.5155776406404415,0.34136663480318413,46.04986359993927,"[-5, 9, 4, -8, -7, 6, -1, -2, 3, -10]","[4, 2, 2, 4, 4, 3, 4, 4, 1, 2]"
78,RL_SPC_HGA,N10E30R10_03,2,1,0.5168455129260574,0.34220609963133936,47.85008499992546,"[9, 2, 7, -5, -4, -3, 10, 8, 1, 6]","[4, 2, 2, 1, 2, 2, 4, 3, 4, 4]"
79,RL_SPC_HGA,N10E30R10_04,2,1,0.46338834764831843,0.26741213022029126,47.5016825000057,"[10, -3, 9, -6, 7, -5, 2, 8, 1, 4]","[2, 4, 4, 2, 3, 4, 1, 2, 2, 2]"
80,RL_SPC_HGA,N10E30R10_05,2,1,0.5288391973670659,0.3501471804187695,46.1324732999783,"[6, -8, 1, -10, 3, -2, 7, -9, -4, 5]","[2, 2, 4, 2, 1, 4, 4, 2, 3, 4]"
81,RL_SPC_HGA,N20E50R20_01,2,1,0.7812,0.3840243191875829,295.76911590003874,"[3, -13, 14, 6, -1, 11, 16, -12, -15, -10, -7, -9, -18, 17, 19, -8, -2, -4, 5, -20]","[2, 2, 4, 2, 4, 2, 2, 4, 3, 4, 4, 4, 4, 3, 4, 1, 2, 2, 2, 1]"
82,RL_SPC_HGA,N20E50R20_02,2,1,0.5943892035334972,0.29896194190625347,289.4587925000815,"[-15, -13, -1, 19, -6, 3, 5, 9, 18, -10, -16, 11, -12, 14, 7, 2, -4, 17, -20, -8]","[4, 4, 2, 2, 2, 2, 2, 1, 2, 2, 2, 1, 2, 4, 3, 4, 4, 3, 4, 3]"
83,RL_SPC_HGA,N20E50R20_03,2,1,0.6097578527689311,0.27983909956576847,285.6369280000217,"[-14, 10, -18, -5, 17, 6, -1, 4, -13, -7, 16, 2, -19, 8, -15, -11, -20, 9, 12, 3]","[2, 4, 2, 2, 4, 4, 2, 2, 4, 3, 4, 4, 4, 1, 2, 2, 3, 4, 1, 2]"
84,RL_SPC_HGA,N20E50R20_04,2,1,0.5871720667724423,0.26947369633636925,289.28177510004025,"[-14, 11, -12, 20, 19, -13, 6, 5, 16, 18, -17, 4, 10, -2, 7, 3, -8, 9, -15, -1]","[4, 4, 2, 2, 4, 4, 4, 3, 4, 2, 2, 2, 4, 3, 4, 1, 2, 2, 1, 1]"
85,RL_SPC_HGA,N20E50R20_05,2,1,0.53085,0.2609566178196728,280.4833141999552,"[-18, 19, 14, -8, 1, 13, -6, 3, 16, 5, 12, -7, 4, -15, -2, 10, -11, 9, 17, -20]","[2, 2, 2, 2, 4, 1, 2, 2, 2, 2, 1, 2, 4, 4, 3, 4, 4, 3, 4, 1]"
